year,month,yearmonth,decimal_date,days,type,ppm
1958,3,1958-03-01,1958.2079999999999,,average,315.71
1958,3,1958-03-01,1958.2079999999999,,interpolated,315.71
1958,3,1958-03-01,1958.2079999999999,,trend,314.62
1958,4,1958-04-01,1958.2920000000001,,average,317.45
1958,4,1958-04-01,1958.2920000000001,,interpolated,317.45
1958,4,1958-04-01,1958.2920000000001,,trend,315.29
1958,5,1958-05-01,1958.375,,average,317.5
1958,5,1958-05-01,1958.375,,interpolated,317.5
1958,5,1958-05-01,1958.375,,trend,314.71
1958,6,1958-06-01,1958.4579999999999,,average,
1958,6,1958-06-01,1958.4579999999999,,interpolated,317.1
1958,6,1958-06-01,1958.4579999999999,,trend,314.85
1958,7,1958-07-01,1958.5420000000001,,average,315.86
1958,7,1958-07-01,1958.5420000000001,,interpolated,315.86
1958,7,1958-07-01,1958.5420000000001,,trend,314.98
1958,8,1958-08-01,1958.625,,average,314.93
1958,8,1958-08-01,1958.625,,interpolated,314.93
1958,8,1958-08-01,1958.625,,trend,315.94
1958,9,1958-09-01,1958.7079999999999,,average,313.2
1958,9,1958-09-01,1958.7079999999999,,interpolated,313.2
1958,9,1958-09-01,1958.7079999999999,,trend,315.91
1958,10,1958-10-01,1958.7920000000001,,average,
1958,10,1958-10-01,1958.7920000000001,,interpolated,312.66
1958,10,1958-10-01,1958.7920000000001,,trend,315.61
1958,11,1958-11-01,1958.875,,average,313.33
1958,11,1958-11-01,1958.875,,interpolated,313.33
1958,11,1958-11-01,1958.875,,trend,315.31
1958,12,1958-12-01,1958.9579999999999,,average,314.67
1958,12,1958-12-01,1958.9579999999999,,interpolated,314.67
1958,12,1958-12-01,1958.9579999999999,,trend,315.61
1959,1,1959-01-01,1959.0420000000001,,average,315.62
1959,1,1959-01-01,1959.0420000000001,,interpolated,315.62
1959,1,1959-01-01,1959.0420000000001,,trend,315.7
1959,2,1959-02-01,1959.125,,average,316.38
1959,2,1959-02-01,1959.125,,interpolated,316.38
1959,2,1959-02-01,1959.125,,trend,315.88
1959,3,1959-03-01,1959.2079999999999,,average,316.71
1959,3,1959-03-01,1959.2079999999999,,interpolated,316.71
1959,3,1959-03-01,1959.2079999999999,,trend,315.62
1959,4,1959-04-01,1959.2920000000001,,average,317.72
1959,4,1959-04-01,1959.2920000000001,,interpolated,317.72
1959,4,1959-04-01,1959.2920000000001,,trend,315.56
1959,5,1959-05-01,1959.375,,average,318.29
1959,5,1959-05-01,1959.375,,interpolated,318.29
1959,5,1959-05-01,1959.375,,trend,315.5
1959,6,1959-06-01,1959.4579999999999,,average,318.15
1959,6,1959-06-01,1959.4579999999999,,interpolated,318.15
1959,6,1959-06-01,1959.4579999999999,,trend,315.92
1959,7,1959-07-01,1959.5420000000001,,average,316.54
1959,7,1959-07-01,1959.5420000000001,,interpolated,316.54
1959,7,1959-07-01,1959.5420000000001,,trend,315.66
1959,8,1959-08-01,1959.625,,average,314.8
1959,8,1959-08-01,1959.625,,interpolated,314.8
1959,8,1959-08-01,1959.625,,trend,315.81
1959,9,1959-09-01,1959.7079999999999,,average,313.84
1959,9,1959-09-01,1959.7079999999999,,interpolated,313.84
1959,9,1959-09-01,1959.7079999999999,,trend,316.55
1959,10,1959-10-01,1959.7920000000001,,average,313.26
1959,10,1959-10-01,1959.7920000000001,,interpolated,313.26
1959,10,1959-10-01,1959.7920000000001,,trend,316.19
1959,11,1959-11-01,1959.875,,average,314.8
1959,11,1959-11-01,1959.875,,interpolated,314.8
1959,11,1959-11-01,1959.875,,trend,316.78
1959,12,1959-12-01,1959.9579999999999,,average,315.58
1959,12,1959-12-01,1959.9579999999999,,interpolated,315.58
1959,12,1959-12-01,1959.9579999999999,,trend,316.52
1960,1,1960-01-01,1960.0420000000001,,average,316.43
1960,1,1960-01-01,1960.0420000000001,,interpolated,316.43
1960,1,1960-01-01,1960.0420000000001,,trend,316.51
1960,2,1960-02-01,1960.125,,average,316.97
1960,2,1960-02-01,1960.125,,interpolated,316.97
1960,2,1960-02-01,1960.125,,trend,316.47
1960,3,1960-03-01,1960.2079999999999,,average,317.58
1960,3,1960-03-01,1960.2079999999999,,interpolated,317.58
1960,3,1960-03-01,1960.2079999999999,,trend,316.49
1960,4,1960-04-01,1960.2920000000001,,average,319.02
1960,4,1960-04-01,1960.2920000000001,,interpolated,319.02
1960,4,1960-04-01,1960.2920000000001,,trend,316.86
1960,5,1960-05-01,1960.375,,average,320.03
1960,5,1960-05-01,1960.375,,interpolated,320.03
1960,5,1960-05-01,1960.375,,trend,317.24
1960,6,1960-06-01,1960.4579999999999,,average,319.59
1960,6,1960-06-01,1960.4579999999999,,interpolated,319.59
1960,6,1960-06-01,1960.4579999999999,,trend,317.36
1960,7,1960-07-01,1960.5420000000001,,average,318.18
1960,7,1960-07-01,1960.5420000000001,,interpolated,318.18
1960,7,1960-07-01,1960.5420000000001,,trend,317.3
1960,8,1960-08-01,1960.625,,average,315.91
1960,8,1960-08-01,1960.625,,interpolated,315.91
1960,8,1960-08-01,1960.625,,trend,316.92
1960,9,1960-09-01,1960.7079999999999,,average,314.16
1960,9,1960-09-01,1960.7079999999999,,interpolated,314.16
1960,9,1960-09-01,1960.7079999999999,,trend,316.87
1960,10,1960-10-01,1960.7920000000001,,average,313.83
1960,10,1960-10-01,1960.7920000000001,,interpolated,313.83
1960,10,1960-10-01,1960.7920000000001,,trend,316.76
1960,11,1960-11-01,1960.875,,average,315.0
1960,11,1960-11-01,1960.875,,interpolated,315.0
1960,11,1960-11-01,1960.875,,trend,316.98
1960,12,1960-12-01,1960.9579999999999,,average,316.19
1960,12,1960-12-01,1960.9579999999999,,interpolated,316.19
1960,12,1960-12-01,1960.9579999999999,,trend,317.13
1961,1,1961-01-01,1961.0420000000001,,average,316.93
1961,1,1961-01-01,1961.0420000000001,,interpolated,316.93
1961,1,1961-01-01,1961.0420000000001,,trend,317.03
1961,2,1961-02-01,1961.125,,average,317.7
1961,2,1961-02-01,1961.125,,interpolated,317.7
1961,2,1961-02-01,1961.125,,trend,317.28
1961,3,1961-03-01,1961.2079999999999,,average,318.54
1961,3,1961-03-01,1961.2079999999999,,interpolated,318.54
1961,3,1961-03-01,1961.2079999999999,,trend,317.47
1961,4,1961-04-01,1961.2920000000001,,average,319.48
1961,4,1961-04-01,1961.2920000000001,,interpolated,319.48
1961,4,1961-04-01,1961.2920000000001,,trend,317.27
1961,5,1961-05-01,1961.375,,average,320.58
1961,5,1961-05-01,1961.375,,interpolated,320.58
1961,5,1961-05-01,1961.375,,trend,317.7
1961,6,1961-06-01,1961.4579999999999,,average,319.77
1961,6,1961-06-01,1961.4579999999999,,interpolated,319.77
1961,6,1961-06-01,1961.4579999999999,,trend,317.48
1961,7,1961-07-01,1961.5420000000001,,average,318.57
1961,7,1961-07-01,1961.5420000000001,,interpolated,318.57
1961,7,1961-07-01,1961.5420000000001,,trend,317.7
1961,8,1961-08-01,1961.625,,average,316.79
1961,8,1961-08-01,1961.625,,interpolated,316.79
1961,8,1961-08-01,1961.625,,trend,317.8
1961,9,1961-09-01,1961.7079999999999,,average,314.8
1961,9,1961-09-01,1961.7079999999999,,interpolated,314.8
1961,9,1961-09-01,1961.7079999999999,,trend,317.49
1961,10,1961-10-01,1961.7920000000001,,average,315.38
1961,10,1961-10-01,1961.7920000000001,,interpolated,315.38
1961,10,1961-10-01,1961.7920000000001,,trend,318.35
1961,11,1961-11-01,1961.875,,average,316.1
1961,11,1961-11-01,1961.875,,interpolated,316.1
1961,11,1961-11-01,1961.875,,trend,318.13
1961,12,1961-12-01,1961.9579999999999,,average,317.01
1961,12,1961-12-01,1961.9579999999999,,interpolated,317.01
1961,12,1961-12-01,1961.9579999999999,,trend,317.94
1962,1,1962-01-01,1962.0420000000001,,average,317.94
1962,1,1962-01-01,1962.0420000000001,,interpolated,317.94
1962,1,1962-01-01,1962.0420000000001,,trend,318.06
1962,2,1962-02-01,1962.125,,average,318.56
1962,2,1962-02-01,1962.125,,interpolated,318.56
1962,2,1962-02-01,1962.125,,trend,318.11
1962,3,1962-03-01,1962.2079999999999,,average,319.68
1962,3,1962-03-01,1962.2079999999999,,interpolated,319.68
1962,3,1962-03-01,1962.2079999999999,,trend,318.57
1962,4,1962-04-01,1962.2920000000001,,average,320.63
1962,4,1962-04-01,1962.2920000000001,,interpolated,320.63
1962,4,1962-04-01,1962.2920000000001,,trend,318.45
1962,5,1962-05-01,1962.375,,average,321.01
1962,5,1962-05-01,1962.375,,interpolated,321.01
1962,5,1962-05-01,1962.375,,trend,318.2
1962,6,1962-06-01,1962.4579999999999,,average,320.55
1962,6,1962-06-01,1962.4579999999999,,interpolated,320.55
1962,6,1962-06-01,1962.4579999999999,,trend,318.27
1962,7,1962-07-01,1962.5420000000001,,average,319.58
1962,7,1962-07-01,1962.5420000000001,,interpolated,319.58
1962,7,1962-07-01,1962.5420000000001,,trend,318.67
1962,8,1962-08-01,1962.625,,average,317.4
1962,8,1962-08-01,1962.625,,interpolated,317.4
1962,8,1962-08-01,1962.625,,trend,318.48
1962,9,1962-09-01,1962.7079999999999,,average,316.26
1962,9,1962-09-01,1962.7079999999999,,interpolated,316.26
1962,9,1962-09-01,1962.7079999999999,,trend,319.03
1962,10,1962-10-01,1962.7920000000001,,average,315.42
