year,PdDistrict,Category,Descript,incident_count
2003,BAYVIEW,ARSON,ARSON,2
2003,BAYVIEW,ARSON,"ARSON OF A COMMERCIAL BUILDING",1
2003,BAYVIEW,ARSON,"ARSON OF A POLICE VEHICLE",1
2003,BAYVIEW,ARSON,"ARSON OF A VEHICLE",80
2003,BAYVIEW,ARSON,"ARSON OF AN INHABITED DWELLING",9
2003,BAYVIEW,ARSON,"ATTEMPTED ARSON",7
2003,BAYVIEW,ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",6
2003,BAYVIEW,ASSAULT,"AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE",1
2003,BAYVIEW,ASSAULT,"AGGRAVATED ASSAULT WITH A DEADLY WEAPON",141
2003,BAYVIEW,ASSAULT,"AGGRAVATED ASSAULT WITH A GUN",63
2003,BAYVIEW,ASSAULT,"AGGRAVATED ASSAULT WITH A KNIFE",38
2003,BAYVIEW,ASSAULT,"AGGRAVATED ASSAULT WITH BODILY FORCE",89
2003,BAYVIEW,ASSAULT,ASSAULT,9
2003,BAYVIEW,ASSAULT,"ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON",4
2003,BAYVIEW,ASSAULT,"ASSAULT WITH CAUSTIC CHEMICALS",5
2003,BAYVIEW,ASSAULT,"ATTEMPTED HOMICIDE WITH A DANGEROUS WEAPON",2
2003,BAYVIEW,ASSAULT,"ATTEMPTED HOMICIDE WITH A GUN",25
2003,BAYVIEW,ASSAULT,"ATTEMPTED HOMICIDE WITH A KNIFE",4
2003,BAYVIEW,ASSAULT,"ATTEMPTED HOMICIDE WITH BODILY FORCE",2
2003,BAYVIEW,ASSAULT,"ATTEMPTED MAYHEM WITH A KNIFE",1
2003,BAYVIEW,ASSAULT,"ATTEMPTED SIMPLE ASSAULT",3
2003,BAYVIEW,ASSAULT,BATTERY,520
2003,BAYVIEW,ASSAULT,"BATTERY OF A POLICE OFFICER",19
2003,BAYVIEW,ASSAULT,"CHILD ABUSE (PHYSICAL)",53
2003,BAYVIEW,ASSAULT,"INFLICT INJURY ON COHABITEE",280
2003,BAYVIEW,ASSAULT,"MAYHEM WITH A DEADLY WEAPON",1
2003,BAYVIEW,ASSAULT,"MAYHEM WITH A KNIFE",1
2003,BAYVIEW,ASSAULT,STALKING,9
2003,BAYVIEW,ASSAULT,"THREATENING PHONE CALL(S)",24
2003,BAYVIEW,ASSAULT,"THREATS AGAINST LIFE",463
2003,BAYVIEW,ASSAULT,"THREATS TO SCHOOL TEACHERS",4
2003,BAYVIEW,ASSAULT,"UNLAWFUL DISSUADING/THREATENING OF A WITNESS",3
2003,BAYVIEW,ASSAULT,"WILLFUL CRUELTY TO CHILD",8
2003,BAYVIEW,"BAD CHECKS","CHECKS, NON-SUFFICIENT FUNDS (FELONY)",5
2003,BAYVIEW,"BAD CHECKS","CHECKS, NON-SUFFICIENT FUNDS (MISDEMEANOR)",5
2003,BAYVIEW,BRIBERY,"BRIBERY OF WITNESSES",5
2003,BAYVIEW,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",12
2003,BAYVIEW,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",80
2003,BAYVIEW,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",48
2003,BAYVIEW,BURGLARY,"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY",4
2003,BAYVIEW,BURGLARY,"BURGLARY OF FLAT, FORCIBLE ENTRY",8
2003,BAYVIEW,BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",11
2003,BAYVIEW,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",20
2003,BAYVIEW,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",117
2003,BAYVIEW,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",72
2003,BAYVIEW,BURGLARY,"BURGLARY OF STORE, ATTEMPTED FORCIBLE ENTRY",4
2003,BAYVIEW,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",23
2003,BAYVIEW,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",8
2003,BAYVIEW,BURGLARY,"BURGLARY OF WAREHOUSE, ATTEMPTED FORCIBLE ENTRY",3
2003,BAYVIEW,BURGLARY,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY",14
2003,BAYVIEW,BURGLARY,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY",14
2003,BAYVIEW,BURGLARY,"BURGLARY, ATTEMPTED FORCIBLE ENTRY",16
2003,BAYVIEW,BURGLARY,"BURGLARY, FORCIBLE ENTRY",65
2003,BAYVIEW,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",6
2003,BAYVIEW,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",23
2003,BAYVIEW,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",16
2003,BAYVIEW,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",34
2003,BAYVIEW,BURGLARY,"BURGLARY,APT UNDER CONSTRUCTION, UNLAWFUL ENTRY",2
2003,BAYVIEW,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY",4
2003,BAYVIEW,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",17
2003,BAYVIEW,BURGLARY,"BURGLARY,FLAT UNDER CONSTRUCTION, FORCIBLE ENTRY",1
2003,BAYVIEW,BURGLARY,"BURGLARY,HOTEL UNDER CONSTRUCTION, ATT. FORCIBLE",1
2003,BAYVIEW,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, ATT. FORCIBLE",3
2003,BAYVIEW,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY",5
2003,BAYVIEW,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY",3
2003,BAYVIEW,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, ATT. FORCIBLE",5
2003,BAYVIEW,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",45
2003,BAYVIEW,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",14
2003,BAYVIEW,BURGLARY,"BURGLARY,WAREHOUSE UNDER CONSTRT, UNLAWFUL ENTRY",1
2003,BAYVIEW,"DISORDERLY CONDUCT","COMMITTING PUBLIC NUISANCE",42
2003,BAYVIEW,"DISORDERLY CONDUCT","DISTURBING THE PEACE",21
2003,BAYVIEW,"DISORDERLY CONDUCT","DISTURBING THE PEACE, COMMOTION",1
2003,BAYVIEW,"DISORDERLY CONDUCT","DISTURBING THE PEACE, FIGHTING",5
2003,BAYVIEW,"DISORDERLY CONDUCT","DISTURBING THE PEACE, SWEARING",2
2003,BAYVIEW,"DISORDERLY CONDUCT","MAINTAINING A PUBLIC NUISANCE",1
2003,BAYVIEW,"DISORDERLY CONDUCT","MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION",4
2003,BAYVIEW,"DRIVING UNDER THE INFLUENCE","DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL",24
2003,BAYVIEW,"DRIVING UNDER THE INFLUENCE","DRIVING WHILE UNDER THE INFLUENCE OF DRUGS",1
2003,BAYVIEW,DRUG/NARCOTIC,"MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED",7
2003,BAYVIEW,DRUG/NARCOTIC,"PLANTING/CULTIVATING MARIJUANA",3
2003,BAYVIEW,DRUG/NARCOTIC,"PLANTING/CULTIVATING PEYOTE",1
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF AMPHETAMINE",3
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF AMPHETAMINE FOR SALES",2
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF BASE/ROCK COCAINE",242
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF BASE/ROCK COCAINE FOR SALE",49
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF COCAINE",44
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF COCAINE FOR SALES",12
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF CONTROLLED SUBSTANCE",36
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF CONTROLLED SUBSTANCE FOR SALE",2
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF HALLUCINOGENIC",2
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF HEROIN",75
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF HEROIN FOR SALES",5
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF MARIJUANA",171
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF MARIJUANA FOR SALES",34
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF METH-AMPHETAMINE",55
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF METH-AMPHETAMINE FOR SALE",8
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF METHADONE",2
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF NARCOTICS PARAPHERNALIA",80
2003,BAYVIEW,DRUG/NARCOTIC,"POSSESSION OF OPIUM",1
2003,BAYVIEW,DRUG/NARCOTIC,"SALE OF AMPHETAMINE",1
2003,BAYVIEW,DRUG/NARCOTIC,"SALE OF BASE/ROCK COCAINE",22
2003,BAYVIEW,DRUG/NARCOTIC,"SALE OF COCAINE",3
